company,website,backup,location,roles,notes
Campbell and Company,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2de708e1-c847-43b1-bf0d-0bad30aca014&ccId=19000101_000001&type=MP&lang=en_US,,"Baltimore, MD",This small 60 employee multi-strat quant firm has an extremely collaborative culture.,
Chicago Trading Company,https://www.chicagotrading.com/search#search-results,,Chicago,Very trader led shop. Shares an office with Group One Trading.,
Citadel Securities,https://www.citadelsecurities.com/careers/students/internships/,,"Chicago, NYC",The market making arm of Citadel. The general perception is that the culture tends to be better at Citadel Securities vs Citadel LLC.,
Citadel,https://www.citadel.com/careers/open-opportunities/students/internships/,,"Chicago, NYC",The hedge fund side of Ken Griffin's Citadel. The quants are mostly on the Global Quantitative Strategies team (GQS). Citadel tends to be fairly school-selective.,
Cubist,https://careers.point72.com/?experience=internships,,New York City,The quant arm of Steve Cohen's Point72 hedge fund. Pretty small and school selective.,
DE Shaw,https://www.deshaw.com/careers/internships,,NYC,"Tends to be extremely school-selective, mostly recruiting from ivy leagues and similar. Generally considered a top destination for QRs, more so than other roles.",
DRW,https://drw.com/work-at-drw/category/campus,https://www.drw.com/work-at-drw/listings?filterType=campus&value=Campus,Chicago,Perception is that DRWers tend to have a good WLB but teams are usually siloed. Known for their PM type culture and relatively fluid roles.,
Five Rings,https://fiverings.com/careers,,NYC,Extremely school-selective - generally MIT only.,
Flow Traders,https://www.flowtraders.com/careers,,NYC,"Based in Amsterdam, where there are SWE roles. US internships are for traders. Primary focus is on ETFs. Pay tends be lower than IMC and Optiver. One of the only publicly traded quant funds.",
G-Research,https://www.gresearch.co.uk/join-us/graduates/,,London,Also hires people out of the US. Very focused on research with a lot of people working on cutting-edge Machine Learning.,
Geneva Trading,https://www.genevatrading.com/careers-open-positions/,,Chicago,,
GSA Capital,https://www.gsacapital.com/?section=careers&gh_src=,,NYC,,
HAP Capital,https://jobs.lever.co/hap-capital,,NYC,"Another options market maker. Less known than (IMC, Optiver, ...) but well known in the OMM circle.",
Headlands Tech,https://www.headlandstech.com/careers/,,Chicago,"Founded by ex-Citadel people. Max Dama works here. Similarly to Ansatz, Aquatic, and Radix, a small firm that is willing to pay more than most competitors. Known to have a large focus on C++, both among QRs and SWEs.",
Hudson River Trading,https://www.hudsonrivertrading.com/careers/,,NYC,"The Algo Dev role at HRT is essentially Quantitative Research. HRT's culture seems to be pretty similar to JS and pay is similar too. HRT has a bigger focus on ML with their dedicated HRT AI Labs. Known for recruiting UG QRs, and for very collegial culture.",
IMC Trading,https://careers.imc.com/us/en/student-opportunities,,Chicago,"Known for a pretty chill, tech-like culture. They're a more systematic OMM.",
Jane Street,https://www.janestreet.com/join-jane-street/open-roles/?type=students-and-new-grads,,NYC,"Founded by ex-SIG people. Tends to be more school-agnostic than other firms. General perception of JS is that it has a very comfortable and nerdy culture. Specializes in ETF market making, and uses OCaml as their primary programming language. Has big offices in London and Hong Kong. Opens roles in July.",
Mako Trading,https://www.mako.com/opportunities,,London,,
Marshall Wace,https://www.mwam.com/join-us/internships/,,NYC,,
Maven Securities,https://www.mavensecurities.com/jobs/,,London,Founded by ex-optiver traders.,
Millenium,https://www.mlp.com/job-listings/,,NYC,,
Old Mission,https://www.oldmissioncapital.com/careers/,,"Chicago, NYC",Takes 4 total for a winter internship. Very trader led. Many good traders come here to carve their own path.,
PDT Partners,https://pdtpartners.com/careers,,NYC,"Founded by Pete Muller, very collaborative and secretive culture similar to Rentech. Recruits college students for mainly SWE but some SWE/QR combo roles (dependent on team). Exclusively recruits PhD students for full-time QR roles.",
Peak6,https://peak6.com/careers/?l=&q=intern#jointheparty,,Chicago,The internships are geared towards women. The new grad roles are open to everyone.,
Quantic,https://job-boards.greenhouse.io/walleyecapital-external-students,,"Boston, MA",,"{'role_type': 'QD', 'links': [{'url': 'https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679168006'}]}; {'role_type': 'QR', 'links': [{'url': 'https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679173006'}]}"
QuantLab,https://www.quantlab.com/careers,,Houston,,
Radix Trading,https://radixtrading.co/,,Chicago,Founded by ex-Citadel people. Radix calls SWEs Quantitative Technologists. Extremely secretive.,
Renaissance,https://www.rentec.com/Careers.action?jobs=true,,Setauket - East Setauket,"The legendary OG quant fund. They interview some normal people for SWE, but other roles tend to be extremely difficult.",
Schonfeld,https://www.schonfeld.com/careers/,,Miami,,
Seven Eight,https://www.seveneightcapital.com/join-us,,NYC,,
SIG,https://careers.sig.com/intern-openings,,Bala Cynwyd,"Has a huge poker culture. Fairly chill culture but pay tends to be on the lower side, especially for SWEs. Considered one of the best or the best firms for traders to start their career.","{'role_type': 'QT', 'links': [{'url': 'https://careers.sig.com/job/10717/Quantitative-Trader-Internship-Summer-2027'}]}"
Squarepoint,https://www.squarepoint-capital.com/early-careers,,NYC,,
TGS,https://www.tgsmc.com/join-our-team/,,Irvine,Perception ranges anywhere from JS to RenTech tier. Extremely secretive - not much else is known.,
